,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
478,3.20198,2269108172422,0.26342,-0.15762
479,3.20827,2269108235366,0.2635,-0.15618
480,3.21512,2269108303796,0.26352,-0.15482
481,3.22182,2269108370835,0.26361,-0.15472
482,3.22868,2269108439456,0.26408,-0.15427
483,3.23555,2269108508094,0.26466,-0.15396
484,3.2431,2269108583723,0.26549,-0.15375
485,3.24899,2269108642588,0.26606,-0.15228
486,3.25685,2269108721139,0.26662,-0.15091
487,3.26352,2269108787796,0.26611,-0.1509
488,3.26898,2269108842475,0.26513,-0.1516
489,3.2765,2269108917696,0.2641,-0.15221
490,3.28365,2269108989116,0.26572,-0.15177
491,3.28992,2269109051825,0.26774,-0.15144
492,3.29762,2269109128934,0.2697,-0.15118
493,3.3027,2269109179663,0.27105,-0.15086
494,3.30875,2269109240058,0.27237,-0.14827
495,3.31561,2269109308810,0.29361,-0.12722
496,3.32228,2269109375402,0.31347,-0.1105
497,3.32907,2269109443313,0.30718,-0.1176
498,3.33682,2269109520919,0.30367,-0.12091
499,3.34323,2269109584897,0.30734,-0.12294
500,3.35007,2269109653327,0.31082,-0.12985
501,3.35675,2269109720101,0.3137,-0.13505
502,3.36366,2269109789243,0.31409,-0.13163
503,3.36923,2269109845030,0.31579,-0.13248
504,3.37602,2269109912898,0.31688,-0.13294
505,3.38373,2269109989888,0.31873,-0.13137
506,3.38925,2269110045148,0.31956,-0.13244
507,3.39598,2269110112500,0.32039,-0.13346
508,3.40254,2269110178103,0.32172,-0.1321
509,3.411,2269110262582,0.32108,-0.13177
510,3.41684,2269110321084,0.32063,-0.13158
511,3.42357,2269110388272,0.32195,-0.13035
512,3.42941,2269110446801,0.32173,-0.12881
513,3.43636,2269110516235,0.32153,-0.12743
514,3.44444,2269110597021,0.32693,-0.12103
515,3.44942,2269110646807,0.33446,-0.11218
516,3.4575,2269110727721,0.36171,-0.08001
517,3.46408,2269110793414,0.44889,0.05538
518,3.46967,2269110849264,0.48933,0.11281
519,3.47615,2269110914111,0.5587,0.21613
520,3.48286,2269110981284,0.56072,0.24779
521,3.49065,2269111059114,0.56037,0.24606
522,3.4976,2269111128747,0.56015,0.24404
523,3.50351,2269111187753,0.56565,0.24943
524,3.50981,2269111250836,0.56667,0.25266
525,3.51639,2269111316488,0.5675,0.25594
526,3.52322,2269111384903,0.56994,0.2606
527,3.52997,2269111452334,0.57043,0.25818
528,3.53667,2269111519313,0.57078,0.25646
529,3.5434,2269111586667,0.57007,0.2568
530,3.54962,2269111648899,0.56923,0.25571
531,3.55675,2269111720145,0.56849,0.25412
532,3.56422,2269111794847,0.56875,0.25226
533,3.57025,2269111855137,0.56785,0.25237
534,3.57729,2269111925526,0.56705,0.25247
535,3.5844,2269111996623,0.567,0.25279
536,3.59213,2269112074000,0.56718,0.25321
537,3.59677,2269112120411,0.56739,0.25394
538,3.60507,2269112203426,0.56652,0.25497
539,3.61206,2269112273208,0.56635,0.256
540,3.61806,2269112333222,0.56618,0.25705
541,3.62512,2269112403823,0.56538,0.25639
542,3.63177,2269112470457,0.56567,0.25649
543,3.63715,2269112524167,0.56593,0.25623
544,3.64381,2269112590778,0.56517,0.25483
545,3.65054,2269112658048,0.56551,0.25509
546,3.65854,2269112738108,0.56583,0.25534
547,3.66379,2269112790538,0.56497,0.25569
548,3.67229,2269112875457,0.56518,0.25611
549,3.67711,2269112923753,0.56538,0.2565
550,3.68513,2269113003961,0.56579,0.25593
